gender,age,study_time,failures,absences,G1,G2,G3,family_support,paid_classes,activities,internet,parental_edu,dropout
M,16,2,0,3,13,11,7,no,no,no,no,primary,1
F,20,3,0,1,12,10,7,no,no,yes,yes,secondary,0
F,16,4,0,6,14,17,10,no,yes,no,yes,secondary,0
F,16,3,3,8,5,8,3,yes,no,yes,yes,secondary,1
F,15,1,1,3,14,11,10,no,yes,no,yes,primary,0
M,16,2,3,2,18,18,17,yes,no,no,yes,higher,1
M,21,1,0,6,9,8,6,yes,yes,yes,no,secondary,0
F,15,2,0,2,16,15,9,no,no,no,no,none,0
F,18,1,1,6,10,7,8,no,no,yes,yes,secondary,0
M,17,2,0,3,6,6,8,no,yes,no,yes,primary,1
F,15,3,0,3,10,8,6,no,no,no,yes,secondary,1
M,20,1,0,1,14,16,11,no,no,no,yes,secondary,1
F,18,2,0,3,8,5,6,no,no,no,no,higher,0
M,15,2,0,4,9,10,11,no,no,no,yes,primary,0
F,15,2,0,4,12,12,9,yes,yes,no,no,secondary,0
M,17,1,0,3,11,12,7,no,yes,no,yes,primary,1
M,21,2,0,2,12,13,11,no,no,yes,yes,secondary,0
M,20,3,0,8,11,8,9,no,no,no,yes,secondary,0
F,19,1,1,3,12,12,10,yes,no,no,yes,primary,0
F,19,1,0,4,9,10,7,yes,no,yes,yes,secondary,1
F,15,2,0,4,11,14,12,yes,no,yes,no,secondary,0
F,16,4,1,7,8,11,9,no,no,yes,yes,higher,0
M,20,3,0,4,14,14,10,yes,no,yes,yes,primary,0
M,18,3,0,2,9,8,7,yes,yes,yes,no,higher,1
F,16,2,0,2,14,16,9,yes,no,no,yes,higher,0
M,16,2,0,3,10,11,10,no,yes,no,no,higher,0
F,20,1,0,4,11,12,9,no,no,no,yes,secondary,0
M,21,2,1,5,9,9,6,no,yes,yes,yes,higher,0
F,15,4,0,6,7,10,7,yes,no,no,no,secondary,0
M,15,2,0,6,5,7,5,yes,yes,no,no,primary,0
F,15,3,0,6,7,6,7,yes,yes,no,yes,secondary,1
F,15,3,0,2,10,11,10,yes,no,no,yes,secondary,0
F,19,1,0,2,11,8,7,no,no,yes,no,higher,1
M,15,4,0,5,14,17,14,yes,no,no,yes,secondary,0
F,19,1,0,4,9,9,8,yes,no,no,yes,primary,0
F,19,2,0,3,8,8,6,yes,yes,yes,no,secondary,1
F,21,1,0,3,6,9,6,yes,no,yes,no,higher,1
F,15,1,0,5,12,13,10,no,yes,yes,no,primary,1
F,17,2,1,1,15,14,13,yes,no,yes,no,secondary,0
F,18,2,0,3,14,15,11,no,no,yes,no,secondary,0
F,16,2,0,7,13,16,11,yes,yes,no,no,primary,0
F,19,2,0,5,12,10,13,yes,no,no,no,none,0
F,20,1,1,6,16,17,15,yes,no,no,yes,secondary,0
M,20,1,0,5,11,13,8,yes,no,no,yes,higher,0
M,18,2,0,4,12,15,12,no,no,no,no,none,0
F,20,2,1,4,10,12,9,yes,no,no,no,secondary,0
F,17,3,1,4,6,9,7,yes,yes,no,yes,secondary,0
F,20,3,0,5,8,6,6,yes,no,yes,yes,higher,0
F,16,3,0,3,10,12,11,yes,no,no,no,higher,0
M,16,3,1,5,11,13,10,no,no,no,yes,secondary,0
M,19,2,3,5,16,13,11,yes,no,yes,yes,higher,0
F,15,3,2,0,11,11,11,yes,no,no,no,none,1
M,21,2,0,5,14,16,13,no,no,no,no,secondary,0
F,17,2,0,2,9,9,7,yes,no,no,no,secondary,0
M,19,3,0,6,10,13,10,yes,no,yes,no,primary,0
F,17,2,1,4,7,6,5,yes,no,no,yes,secondary,0
F,15,3,0,3,8,9,7,yes,no,yes,no,primary,1
F,20,3,0,5,12,9,7,no,no,yes,yes,higher,0
F,20,3,1,7,11,14,9,yes,no,yes,no,secondary,0
M,21,4,0,4,13,11,7,no,no,no,yes,secondary,0
F,15,2,1,2,11,10,6,yes,no,no,yes,primary,1
F,19,2,0,5,9,6,4,no,no,yes,yes,primary,0
M,21,2,0,3,17,14,12,yes,no,no,yes,higher,0
F,15,2,0,0,10,13,10,yes,no,yes,no,secondary,0
F,18,2,1,3,14,12,10,yes,no,yes,no,higher,0
F,16,3,0,9,9,7,1,yes,no,no,no,primary,0
F,21,3,0,4,13,13,14,no,no,yes,no,primary,0
F,21,2,2,5,13,14,13,no,no,no,yes,secondary,0
M,19,1,0,4,11,14,11,yes,no,yes,no,secondary,1
F,17,2,0,2,3,2,6,yes,no,yes,no,primary,1
F,18,1,0,3,11,12,7,yes,yes,no,no,secondary,1
M,19,3,0,4,14,13,14,no,no,no,yes,secondary,0
M,15,2,0,5,12,9,6,no,no,yes,no,primary,0
M,15,1,0,4,12,14,11,yes,no,no,no,secondary,0
F,15,1,0,5,5,7,2,no,no,no,yes,secondary,0
F,15,2,0,4,8,11,8,no,no,no,no,secondary,0
M,17,2,0,4,12,10,9,yes,yes,yes,no,secondary,0
F,18,2,0,5,12,10,8,no,no,no,yes,secondary,0
M,20,1,0,5,14,11,11,yes,yes,no,no,primary,0
F,16,2,0,3,10,7,7,yes,no,yes,no,higher,1
F,17,2,0,3,12,11,8,yes,no,no,no,higher,0
F,17,3,0,2,11,8,6,yes,no,no,yes,secondary,1
F,20,2,0,1,8,11,10,yes,no,no,no,none,0
M,20,2,1,6,4,3,1,yes,no,no,yes,secondary,1
M,16,1,0,3,12,13,12,no,no,no,yes,secondary,0
M,16,4,2,3,11,9,10,yes,yes,no,no,higher,1
F,20,2,3,3,9,7,3,yes,no,no,no,higher,0
F,15,3,0,5,6,8,8,no,no,no,no,higher,0
F,17,1,0,4,12,14,15,yes,no,no,yes,primary,0
F,19,2,0,6,10,13,10,yes,yes,yes,yes,higher,0
F,16,1,1,3,12,10,10,no,yes,yes,no,secondary,0
F,16,2,0,1,16,19,16,no,yes,no,yes,higher,0
F,20,4,0,3,4,5,3,yes,yes,yes,no,secondary,0
F,18,2,0,7,8,9,7,yes,no,no,no,secondary,0
M,19,1,1,5,10,10,5,no,yes,no,no,secondary,0
F,19,1,1,4,15,14,12,yes,no,no,yes,primary,0
M,16,2,0,6,6,8,7,yes,no,no,no,secondary,0
F,15,1,0,6,16,15,13,yes,no,no,no,higher,0
F,18,1,0,2,11,13,12,yes,no,yes,yes,none,0
M,19,3,0,3,10,10,6,no,yes,no,yes,primary,1
F,16,2,1,6,10,8,6,no,no,yes,yes,primary,0
F,19,2,0,4,9,12,12,no,no,yes,yes,secondary,0
M,21,4,0,1,14,13,10,no,yes,yes,no,higher,0
M,18,1,0,2,7,9,7,yes,no,yes,no,primary,1
F,18,4,1,5,12,11,9,yes,no,yes,no,primary,0
F,21,2,1,3,9,7,5,no,no,yes,yes,higher,0
F,17,3,0,5,8,11,11,yes,no,no,no,higher,0
F,21,2,1,4,18,15,12,yes,no,no,yes,none,0
F,20,3,0,5,12,14,8,no,yes,yes,no,secondary,0
F,20,4,0,5,12,9,7,yes,no,yes,no,secondary,0
F,16,2,0,3,14,14,7,yes,yes,no,no,secondary,1
F,18,4,0,6,6,9,5,no,no,no,no,secondary,1
M,17,2,0,6,16,17,11,no,no,no,no,higher,0
M,17,2,2,4,3,2,3,yes,yes,yes,no,none,1
M,19,2,0,2,8,10,6,no,no,no,no,primary,1
F,19,2,0,3,9,8,8,yes,no,no,yes,secondary,0
F,21,1,0,5,12,12,12,yes,no,no,no,secondary,0
F,17,2,0,5,11,11,10,no,no,yes,no,higher,0
M,21,2,2,3,10,9,7,no,no,yes,yes,secondary,1
M,21,3,0,3,10,12,9,yes,no,yes,yes,none,0
M,19,3,0,3,8,11,5,yes,no,yes,no,secondary,1
M,18,2,1,2,6,4,4,yes,no,no,yes,secondary,0
F,21,2,0,4,13,16,10,yes,yes,no,yes,higher,0
M,15,2,0,1,13,11,11,yes,yes,no,no,secondary,0
M,18,1,0,6,15,16,18,yes,no,no,no,secondary,0
F,17,1,0,5,8,11,9,yes,no,no,no,secondary,0
M,17,2,3,4,13,12,6,yes,no,yes,yes,secondary,1
F,21,2,1,2,10,9,7,yes,no,no,yes,secondary,1
F,18,4,0,4,14,16,12,no,yes,no,yes,primary,0
M,19,2,1,5,14,13,11,yes,yes,yes,yes,higher,0
F,19,2,0,5,11,13,8,yes,no,yes,yes,secondary,0
F,20,2,0,5,9,8,7,no,yes,no,no,secondary,0
F,17,1,0,6,13,13,8,no,no,no,yes,higher,1
M,16,2,0,6,12,9,6,yes,no,yes,yes,higher,1
F,20,2,0,4,8,7,7,yes,yes,no,yes,higher,0
F,19,2,0,4,7,4,2,no,no,no,yes,higher,0
M,18,2,2,5,10,8,8,yes,no,no,yes,primary,0
F,19,4,0,6,15,16,10,no,no,yes,yes,secondary,0
F,18,3,0,4,14,17,16,yes,no,yes,no,secondary,0
F,20,2,0,6,7,10,6,yes,no,no,yes,secondary,0
M,17,2,0,2,7,5,4,yes,no,no,yes,higher,1
F,19,2,0,3,14,13,11,no,no,yes,yes,secondary,0
M,21,1,0,4,7,10,6,no,yes,yes,yes,secondary,1
M,18,2,1,5,12,14,11,yes,no,yes,yes,higher,0
M,17,1,0,4,9,7,7,yes,yes,yes,yes,primary,0
M,16,2,0,6,15,15,14,yes,yes,no,yes,secondary,0
M,18,2,0,2,8,5,6,yes,no,no,no,secondary,0
M,20,1,0,7,14,16,12,no,no,yes,yes,secondary,0
F,16,4,0,2,11,14,10,yes,yes,yes,yes,primary,0
M,16,4,1,3,11,13,14,no,no,no,yes,higher,0
M,15,3,0,7,5,4,5,yes,no,yes,yes,secondary,1
F,19,2,0,2,4,4,1,no,yes,no,yes,higher,1
F,18,3,0,3,10,7,7,no,no,no,yes,secondary,0
F,16,1,0,2,11,11,8,yes,yes,no,yes,primary,0
M,15,3,0,5,7,5,4,yes,no,yes,yes,secondary,0
M,20,1,1,1,7,6,3,yes,yes,yes,yes,secondary,0
M,17,3,0,4,12,14,10,yes,no,no,yes,higher,0
M,21,2,1,2,12,14,14,yes,yes,no,yes,none,0
M,21,3,0,4,10,8,8,yes,no,yes,no,higher,0
M,18,4,1,4,13,15,6,no,no,no,no,higher,0
M,16,1,0,3,7,8,9,yes,no,no,no,higher,0
M,21,2,0,3,9,8,9,no,no,no,no,secondary,0
F,19,4,0,3,15,13,10,no,yes,yes,no,higher,0
M,21,2,2,4,11,10,10,no,no,no,no,secondary,1
M,21,3,0,4,11,8,6,yes,yes,no,no,none,0
F,21,2,0,3,17,16,12,yes,no,yes,yes,primary,0
F,15,2,0,5,6,5,7,yes,yes,no,yes,higher,1
M,16,2,1,3,13,10,8,yes,no,yes,no,none,0
F,19,1,0,5,15,13,7,yes,no,yes,no,secondary,0
F,16,3,1,1,10,9,7,no,no,yes,yes,primary,0
M,18,2,0,6,13,13,10,yes,yes,no,no,primary,0
F,18,2,0,6,8,7,8,yes,no,no,yes,primary,0
F,18,2,0,2,8,6,5,no,no,yes,yes,higher,0
M,20,2,3,6,12,14,10,yes,no,yes,yes,secondary,0
M,21,3,0,6,13,16,14,yes,no,yes,yes,higher,0
F,20,4,2,4,14,11,10,no,no,yes,yes,secondary,0
F,15,2,0,2,15,17,11,yes,no,no,no,higher,0
M,18,3,0,3,10,8,9,yes,no,yes,no,secondary,0
M,19,3,0,5,14,15,12,yes,no,yes,no,secondary,0
M,16,2,0,3,9,12,9,no,no,no,yes,secondary,1
F,21,4,1,1,13,15,12,yes,no,no,no,secondary,0
F,17,1,2,3,11,10,6,yes,no,no,yes,higher,1
M,19,1,2,4,12,15,10,yes,no,yes,yes,secondary,1
F,21,3,1,4,12,11,9,yes,no,yes,no,higher,0
F,20,2,0,5,6,3,3,yes,no,no,yes,secondary,1
M,20,3,0,4,7,6,8,yes,no,yes,yes,primary,0
M,19,3,3,1,11,14,11,yes,no,yes,yes,secondary,0
F,20,1,0,4,5,5,6,yes,no,no,no,primary,0
F,18,3,1,2,13,13,10,yes,yes,no,yes,secondary,0
F,15,2,1,4,13,15,14,yes,yes,yes,no,secondary,0
F,16,2,0,2,11,9,9,yes,yes,yes,no,higher,0
M,15,2,3,3,7,4,4,yes,no,no,no,none,1
M,21,4,0,2,15,16,12,yes,no,yes,no,primary,0
F,16,1,0,4,17,19,13,no,no,no,yes,primary,1
M,16,2,0,3,11,9,9,no,no,no,yes,secondary,0
M,15,3,0,6,12,9,8,yes,no,no,yes,higher,0
M,19,3,0,3,11,14,9,yes,no,no,yes,higher,0
M,16,3,0,6,12,9,10,yes,no,yes,no,secondary,0
M,15,1,1,2,10,13,7,yes,no,yes,yes,higher,0
M,16,2,2,5,10,12,8,yes,yes,no,yes,secondary,1
M,17,2,0,4,13,11,11,yes,yes,no,no,primary,0
M,19,3,0,7,18,16,14,no,yes,no,no,primary,0
F,18,2,2,4,6,5,4,yes,no,no,no,higher,1
F,16,1,0,2,10,11,9,yes,no,no,no,secondary,0
F,17,4,0,4,7,7,6,no,yes,no,no,secondary,0
F,18,1,0,8,15,14,8,yes,yes,no,no,secondary,0
F,18,4,0,3,9,6,5,yes,yes,no,yes,secondary,0
M,21,3,0,2,6,7,9,no,no,no,no,higher,0
F,16,3,3,5,12,13,9,no,no,yes,yes,primary,0
F,15,2,0,4,16,14,11,no,no,no,yes,secondary,0
F,16,1,0,2,12,13,9,yes,no,no,yes,secondary,0
M,17,3,0,6,11,13,10,yes,no,yes,no,none,0
M,18,3,0,3,12,13,9,no,yes,no,no,secondary,0
M,16,3,0,2,15,12,11,yes,yes,no,yes,secondary,0
M,15,1,1,8,8,10,8,no,no,no,yes,secondary,0
F,21,3,1,5,10,12,11,yes,no,yes,no,secondary,0
F,16,3,0,4,9,8,5,yes,no,no,no,secondary,0
M,19,3,2,2,7,8,5,no,no,yes,yes,secondary,0
F,21,3,1,3,10,8,7,yes,no,no,yes,secondary,0
F,15,3,1,6,14,17,14,yes,yes,yes,no,primary,0
M,17,2,0,0,12,11,8,yes,no,no,yes,secondary,0
M,18,1,0,3,12,10,10,yes,yes,no,no,secondary,0
M,16,2,0,3,11,12,12,yes,no,yes,yes,none,0
M,15,1,0,5,12,11,7,yes,no,no,yes,higher,1
M,21,2,0,0,8,9,6,yes,no,no,yes,secondary,1
M,19,2,0,5,10,7,5,no,no,yes,yes,higher,0
M,15,1,2,4,11,10,14,yes,no,yes,yes,higher,0
M,20,2,2,2,11,9,7,no,no,yes,yes,secondary,1
F,19,1,2,4,11,8,11,yes,no,yes,no,secondary,0
M,21,3,0,6,10,10,5,yes,no,no,yes,secondary,0
F,17,4,0,8,9,7,4,yes,no,no,no,secondary,0
M,18,1,0,3,20,20,15,no,no,yes,yes,higher,0
F,21,4,0,2,13,14,9,no,no,no,no,secondary,0
M,17,2,0,3,12,10,8,no,yes,no,yes,primary,0
M,16,2,0,3,10,10,7,yes,no,yes,yes,secondary,0
F,15,1,0,2,9,7,5,yes,yes,yes,yes,higher,1
F,20,2,1,1,10,7,9,no,yes,yes,yes,secondary,0
F,19,3,0,7,11,13,12,no,no,no,no,secondary,0
M,19,3,1,5,5,3,5,no,no,no,no,secondary,0
M,15,1,0,8,6,5,5,yes,yes,no,no,secondary,0
F,20,1,0,3,9,12,9,no,yes,yes,yes,secondary,0
F,15,2,0,4,11,11,8,yes,no,no,no,secondary,0
F,16,2,0,5,10,8,5,yes,no,no,no,secondary,1
F,17,1,0,7,15,15,13,yes,no,no,no,secondary,0
M,21,2,0,5,6,8,3,yes,no,yes,no,secondary,0
F,19,3,0,1,8,5,3,no,no,no,yes,secondary,1
M,16,4,0,3,15,14,14,no,yes,no,yes,primary,0
M,17,2,0,3,11,12,13,no,yes,yes,yes,primary,1
M,16,4,2,7,13,11,10,yes,no,yes,no,primary,1
F,20,2,0,3,17,14,14,yes,no,no,yes,secondary,0
M,19,2,1,4,8,8,6,no,yes,no,no,secondary,0
M,21,1,0,0,10,12,6,yes,yes,no,yes,secondary,1
F,15,2,2,4,10,13,11,no,yes,no,yes,primary,0
M,15,4,1,3,5,5,5,yes,no,no,yes,secondary,0
F,17,2,0,4,10,13,10,yes,no,yes,yes,secondary,0
M,21,2,0,4,13,15,11,yes,no,yes,no,secondary,0
F,18,2,2,2,12,15,13,no,no,no,yes,secondary,1
F,20,1,0,6,12,14,9,yes,no,yes,no,primary,0
M,17,3,0,5,9,6,4,yes,no,yes,yes,higher,0
M,18,2,0,4,9,7,4,no,yes,no,yes,primary,0
M,16,2,1,2,14,15,12,yes,yes,no,no,secondary,0
M,20,2,1,5,9,7,4,no,yes,yes,yes,higher,0
F,16,2,0,1,11,10,7,yes,no,yes,no,secondary,0
M,21,1,0,4,11,9,6,yes,no,no,no,higher,0
F,19,3,0,5,15,17,12,no,no,yes,no,primary,0
M,20,1,0,0,13,15,8,yes,yes,no,yes,secondary,0
F,18,3,3,3,7,6,5,yes,no,yes,yes,secondary,1
F,19,3,0,1,7,7,8,yes,no,no,no,none,0
F,15,3,0,3,12,14,11,yes,no,no,no,secondary,0
F,18,2,0,3,10,9,11,yes,no,no,no,secondary,0
M,17,2,1,1,9,11,11,yes,yes,yes,yes,secondary,0
M,15,1,0,2,14,15,13,no,no,no,yes,higher,0
F,15,3,0,6,11,13,10,no,no,yes,yes,primary,0
F,17,2,0,7,11,8,7,yes,no,yes,no,secondary,0
F,20,2,0,2,13,12,11,yes,yes,no,yes,secondary,0
M,15,2,0,5,9,12,8,yes,no,no,yes,secondary,0
F,21,1,0,3,15,13,7,yes,no,no,no,secondary,1
F,18,2,0,5,8,7,7,yes,no,yes,yes,secondary,0
M,19,1,2,0,12,12,7,yes,no,yes,yes,none,1
M,15,3,1,5,15,17,11,yes,no,no,yes,secondary,0
F,18,2,3,2,6,5,4,yes,no,no,yes,higher,1
F,16,1,0,1,9,10,8,yes,no,no,yes,secondary,0
F,18,2,3,1,14,13,8,no,no,no,yes,secondary,0
M,19,1,0,4,14,15,12,no,no,yes,yes,primary,1
F,18,2,0,1,10,12,11,yes,no,no,yes,primary,0
M,17,3,0,4,8,6,3,no,yes,yes,yes,primary,1
M,19,1,0,4,13,15,14,yes,no,no,no,secondary,0
M,20,3,0,2,14,14,8,no,no,no,yes,higher,0
F,16,1,0,3,7,4,8,yes,no,no,yes,secondary,0
F,17,1,0,3,7,5,4,no,yes,no,yes,primary,1
F,20,3,0,7,11,9,8,yes,no,yes,yes,primary,0
M,18,2,0,5,12,9,4,yes,yes,no,yes,secondary,0
F,19,1,0,5,10,9,7,yes,no,yes,yes,secondary,0
M,16,2,0,2,13,15,12,yes,yes,yes,no,secondary,0
F,17,2,1,0,8,7,6,yes,no,yes,yes,secondary,1
M,20,3,1,3,4,3,2,yes,yes,no,no,secondary,0
M,20,2,0,4,9,11,6,no,no,yes,yes,primary,0
F,16,3,0,7,11,11,11,yes,no,no,yes,primary,0
M,21,3,0,3,10,8,7,yes,no,no,yes,none,0
F,18,2,1,5,7,8,9,yes,yes,no,no,primary,0
F,16,4,0,3,5,2,1,no,no,yes,yes,primary,1
M,20,2,0,5,9,7,5,no,yes,yes,yes,secondary,0
F,15,4,0,3,13,12,12,no,no,no,yes,secondary,0
M,17,1,0,3,14,11,6,yes,no,no,yes,secondary,1
F,16,3,0,3,14,15,9,yes,no,yes,no,secondary,0
F,21,2,1,2,8,6,8,yes,no,no,yes,higher,0
F,20,2,0,1,7,5,2,yes,yes,no,no,primary,0
M,18,2,0,6,12,12,6,yes,no,no,no,higher,0
F,20,3,1,5,12,10,12,yes,no,no,yes,secondary,0
F,18,1,1,6,12,10,6,yes,no,no,yes,secondary,0
M,16,1,0,4,4,5,4,yes,no,no,no,secondary,1
M,18,3,0,2,8,9,7,yes,no,yes,yes,primary,1
F,19,3,0,5,10,7,1,no,yes,no,yes,higher,0
F,19,4,2,6,12,11,9,yes,no,no,no,primary,0
F,19,3,0,6,13,14,12,no,no,yes,no,secondary,0
F,21,4,2,7,11,8,8,yes,no,no,no,secondary,0
F,21,3,0,5,11,9,10,yes,no,yes,no,primary,0
M,15,2,0,2,11,8,7,yes,yes,yes,yes,primary,0
M,21,1,0,3,13,10,10,no,yes,yes,yes,none,1
M,16,3,0,4,11,8,6,yes,yes,no,yes,primary,0
F,20,2,0,4,11,13,7,no,yes,no,no,higher,1
M,20,1,0,2,10,7,4,yes,yes,no,no,secondary,1
F,15,2,0,5,11,12,6,yes,no,no,yes,primary,0
F,21,4,3,4,12,15,13,no,no,yes,yes,secondary,0
F,18,2,0,3,11,14,7,yes,yes,no,yes,higher,0
M,15,2,1,4,12,15,12,no,no,no,no,primary,0
F,18,2,0,6,15,18,13,yes,yes,no,yes,primary,0
M,18,1,0,3,11,13,10,yes,no,no,yes,higher,0
F,17,2,0,2,9,8,9,no,no,yes,no,primary,0
M,20,2,0,5,13,10,8,no,no,no,no,secondary,0
M,19,1,2,5,6,6,6,yes,no,no,yes,primary,1
F,21,3,0,5,7,10,7,no,yes,yes,no,higher,1
M,18,2,0,3,12,10,8,yes,no,no,yes,higher,0
M,17,3,0,7,12,15,16,no,no,no,yes,higher,0
F,20,3,0,3,7,10,4,yes,no,yes,yes,secondary,0
F,19,1,0,3,9,7,9,yes,no,no,no,secondary,0
F,18,3,1,2,9,11,10,yes,no,no,no,primary,0
F,18,2,1,5,9,7,5,yes,no,no,yes,higher,1
F,15,3,0,3,13,11,13,yes,no,yes,no,higher,0
M,15,1,0,4,13,15,8,yes,yes,yes,yes,secondary,0
M,20,3,0,4,10,8,6,yes,yes,yes,no,secondary,0
M,19,2,0,4,9,6,3,no,no,no,no,primary,0
F,18,2,0,4,6,9,7,yes,yes,no,yes,secondary,1
F,20,1,0,5,15,14,9,yes,no,no,yes,secondary,0
M,20,3,0,4,12,14,11,yes,yes,yes,no,secondary,0
F,16,3,0,6,8,8,6,no,yes,yes,yes,secondary,0
F,21,2,0,4,13,15,10,yes,yes,no,no,none,0
M,15,2,0,1,10,11,9,yes,no,no,yes,higher,0
F,19,2,0,1,10,10,7,yes,yes,no,no,higher,0
F,18,3,0,3,12,13,8,yes,yes,no,yes,higher,0
F,20,1,1,6,8,10,13,yes,yes,no,yes,secondary,0
M,18,3,0,4,9,10,7,yes,no,no,yes,secondary,0
F,16,2,0,1,11,11,4,yes,no,no,no,primary,1
F,19,2,0,5,9,6,4,yes,no,yes,yes,higher,0
F,20,1,1,1,13,15,9,yes,yes,no,yes,secondary,0
F,18,1,0,3,16,18,15,yes,no,no,no,secondary,1
F,15,2,0,5,8,6,6,yes,no,yes,no,secondary,0
F,21,2,0,3,6,8,7,no,no,yes,yes,higher,1
M,16,3,1,4,4,7,4,no,no,yes,no,none,0
F,19,1,2,5,10,13,9,yes,no,no,no,primary,0
F,16,2,0,5,9,11,7,yes,no,yes,yes,secondary,0
M,15,2,2,2,11,8,7,yes,no,yes,yes,higher,0
F,19,1,2,4,11,9,9,yes,no,no,no,secondary,1
F,16,1,2,4,6,5,5,yes,yes,yes,no,secondary,0
F,17,2,0,7,5,6,6,yes,no,no,yes,secondary,1
F,15,2,0,2,11,11,10,no,yes,no,yes,secondary,1
M,15,2,0,1,11,10,10,no,no,no,yes,secondary,0
F,15,2,1,5,9,7,7,yes,yes,yes,yes,secondary,0
F,17,2,0,3,6,9,7,yes,no,yes,yes,primary,1
M,17,1,0,3,12,15,13,no,no,yes,yes,higher,0
F,18,2,0,7,14,17,11,no,no,no,no,secondary,0
F,20,4,1,4,11,8,6,no,yes,no,no,secondary,0
F,21,2,1,5,8,11,6,yes,no,yes,yes,primary,0
F,16,3,0,5,11,11,9,yes,no,no,yes,secondary,0
M,18,2,1,2,6,7,2,yes,yes,yes,yes,higher,0
M,16,3,0,4,14,16,13,yes,no,no,yes,primary,0
M,21,3,1,7,11,13,10,yes,yes,no,no,secondary,0
F,20,2,0,3,5,4,6,yes,no,no,no,secondary,0
M,17,4,0,6,10,11,7,no,yes,no,yes,secondary,1
M,20,1,2,8,12,10,8,no,no,no,yes,primary,1
M,17,1,0,6,10,11,11,yes,no,no,yes,primary,0
F,21,3,1,3,10,7,9,no,no,no,no,higher,0
F,20,3,0,4,7,6,4,yes,no,no,yes,secondary,0
M,18,1,0,2,12,11,9,no,no,no,no,primary,0
M,19,2,0,3,9,6,6,yes,yes,no,no,primary,0
F,18,1,0,5,4,5,4,yes,no,no,yes,higher,0
F,16,2,0,4,9,12,8,yes,no,no,no,primary,0
M,18,3,0,2,13,10,11,yes,yes,no,no,secondary,0
F,21,2,0,4,9,12,5,yes,no,yes,no,secondary,1
M,15,2,0,6,16,16,12,yes,no,yes,no,higher,0
M,16,2,3,6,12,9,9,no,no,yes,yes,secondary,0
F,20,1,3,8,12,15,12,yes,no,no,yes,secondary,0
M,16,2,0,0,10,11,11,yes,yes,no,no,none,0
F,19,2,1,5,10,13,12,yes,no,no,no,higher,0
M,17,4,0,2,10,7,6,yes,no,no,no,secondary,0
F,20,3,0,5,10,8,10,yes,yes,no,yes,higher,0
F,16,1,1,1,12,14,9,no,no,yes,no,secondary,0
M,20,3,2,2,8,5,7,yes,no,no,yes,secondary,1
F,20,3,0,3,7,9,10,yes,no,no,yes,primary,0
M,20,3,1,4,7,4,7,no,no,no,yes,secondary,0
F,17,2,0,1,17,18,14,yes,yes,yes,yes,secondary,0
M,21,2,3,3,12,12,9,yes,no,no,yes,secondary,0
M,18,2,0,5,11,11,6,no,no,no,no,primary,1
M,20,1,0,3,7,9,7,yes,no,no,yes,primary,0
F,15,1,0,5,12,13,8,yes,no,no,yes,primary,0
F,21,1,0,7,10,13,8,no,no,no,yes,secondary,0
F,19,2,0,3,11,12,7,yes,no,no,yes,higher,1
M,17,3,2,3,8,9,6,yes,no,no,no,secondary,0
F,16,2,0,6,11,9,8,no,no,no,yes,secondary,0
M,17,1,0,5,9,8,7,yes,no,no,yes,primary,0
F,16,4,0,3,8,5,4,yes,no,yes,no,secondary,1
M,17,4,0,3,13,14,13,no,no,yes,no,secondary,0
M,16,3,0,5,6,7,5,no,yes,yes,no,higher,1
M,20,4,0,3,12,13,9,yes,no,yes,no,higher,0
F,18,2,0,1,13,13,11,yes,no,yes,no,secondary,0
F,16,4,0,5,8,9,11,no,no,yes,yes,secondary,0
M,16,1,0,7,8,5,6,no,no,no,no,primary,0
F,15,2,1,3,10,13,9,yes,no,yes,no,secondary,0
F,16,1,2,1,11,14,7,yes,no,yes,yes,primary,1
F,15,1,0,4,10,11,8,yes,yes,no,no,secondary,0
M,19,1,0,4,12,9,9,no,yes,no,no,primary,0
M,20,2,0,8,16,14,11,no,no,no,yes,secondary,0
F,15,3,0,3,9,12,5,no,no,no,yes,secondary,1
M,18,2,0,4,5,4,2,no,no,no,no,secondary,1
M,21,1,0,4,13,13,13,yes,no,yes,yes,secondary,0
F,20,3,0,8,16,13,14,yes,no,yes,yes,primary,0
F,15,2,0,3,12,15,9,no,no,yes,no,secondary,0
M,20,2,0,2,7,10,8,no,no,yes,yes,higher,0
M,20,3,1,3,10,12,7,yes,no,no,yes,higher,0
F,20,2,3,5,7,5,7,yes,no,yes,no,secondary,1
M,19,2,0,5,12,11,10,no,no,yes,no,secondary,0
M,18,4,0,6,6,5,6,yes,no,yes,yes,secondary,1
M,17,2,1,5,10,9,4,yes,no,no,no,primary,0
F,17,2,2,5,7,4,5,yes,no,yes,yes,primary,0
F,15,3,0,6,11,9,8,yes,no,no,yes,primary,0
M,20,3,0,0,9,10,9,yes,no,yes,yes,secondary,0
M,15,1,0,3,11,13,12,no,yes,yes,no,secondary,0
M,19,1,0,1,11,9,8,yes,no,yes,yes,higher,0
F,19,1,0,6,8,6,4,yes,no,no,yes,secondary,1
M,16,2,0,1,12,15,13,yes,no,yes,no,secondary,0
M,19,2,0,7,10,8,7,no,no,no,yes,secondary,0
F,16,1,0,3,8,5,3,no,yes,no,no,primary,0
M,18,4,1,3,17,19,13,no,yes,no,yes,primary,0
F,15,2,0,3,12,9,5,no,no,yes,no,secondary,1
